Video_Title,Video_Description,Upload_Date,Duration_Minutes,View_Count,Like_Count,Comment_Count,Channel_Subscriber_Count,Actual_Quality_Score
"Learn Machine Learning in 5 MINUTES!","The ultimate guide to becoming an ML engineer overnight!",2023-04-12,8,950000,4200,18000,120000,15
"A Deep Dive into React useEffect","Comprehensive explanation of component lifecycle and hooks",2022-08-21,45,68000,5100,320,85000,88
"Build a To-Do App in JavaScript","Simple beginner project using vanilla JS DOM manipulation",2021-11-05,22,145000,3100,240,42000,62
"BECOME A WEB DEV MILLIONAIRE!!!","Secret methods they do not want you to know about coding",2023-09-01,9,2100000,8500,45000,500000,8
"Advanced Docker Networking Concepts","Exploring bridge host and overlay networks in Docker",2020-05-18,55,24000,1950,95,35000,95
"Python For Beginners 2023","Starting your journey with Python programming language",2023-01-10,35,450000,12000,800,210000,68
"Master CSS Grid in 2 Minutes!","Unbelievable CSS trick that will change your life!",2022-12-11,3,680000,1500,50,75000,22
"Introduction to Rust Memory Safety","Understanding ownership and borrowing in the Rust language",2021-07-30,62,41000,3800,215,62000,91
"HTML Basics Tutorial","Learning the fundamental tags of HTML web development",2020-03-22,18,320000,5400,410,150000,54
"ChatGPT writes my ENTIRE app!","Watch me build a SAAS with zero coding knowledge",2023-11-20,12,1850000,9200,21000,850000,25
"Implementing Binary Search Trees in C++","A step-by-step guide to coding and traversing a BST",2020-09-14,48,18000,1600,88,28000,89
"Java Arrays Explained","How to declare and iterate over arrays in Java",2021-02-18,15,85000,1900,140,55000,60
"Make $1000 a day with this Python script!","Passive income secrets using basic web scraping",2022-06-05,10,3400000,12000,55000,1200000,18
"Understanding the Event Loop in Node.js","Deep dive into asynchronous JavaScript execution",2021-10-25,38,52000,4800,260,95000,94
"PHP tutorial for beginners","Setting up a local server and writing basic PHP code",2020-11-08,25,110000,2800,190,48000,58
"Learn C++ FAST!","The only video you need to master C++ instantly",2023-02-15,11,890000,3100,12000,310000,28
"Kubernetes Architecture Overview","Detailed explanation of pods nodes and control plane",2022-04-19,65,38000,3400,155,78000,96
"CSS Flexbox Crash Course","Aligning items perfectly using the flexible box model",2021-08-04,28,210000,6500,380,180000,72
"STOP using React! Do this instead!","Why React is dead and what framework will replace it",2023-10-02,14,1250000,8400,32000,450000,31
"Building REST APIs with Go","Creating scalable backend services using the Go standard library",2020-12-12,52,29000,2600,125,42000,87
"SQL Joins Tutorial","Understanding inner outer left and right joins",2021-05-29,20,175000,4100,250,92000,65
"Hacking Wi-Fi in 60 Seconds!","The tool hackers use to access your network instantly",2022-09-18,7,2100000,5000,42000,680000,14
"Introduction to System Design","Key concepts for designing scalable distributed systems",2021-03-08,85,95000,8800,410,210000,98
"Git and GitHub for Beginners","Version control basics pushing pulling and committing",2020-07-14,35,450000,11000,750,340000,70
"Get a Google SWE Job TOMORROW!","Guaranteed interview tricks that tech companies hate",2023-08-25,12,1450000,4800,28000,520000,21
"Understanding Microservices vs Monoliths","Architectural trade-offs when scaling enterprise applications",2022-01-22,46,55000,4500,230,110000,86
"Swift UI layout basics","Building iOS interfaces with Apple declarative framework",2021-11-30,24,68000,1800,110,45000,61
"Learn Python in 1 MINUTE!","Shortest coding tutorial ever made on YouTube!",2022-03-17,2,850000,1200,45,150000,12
"Demystifying the TypeScript Compiler","How tsc parses checks and emits JavaScript code",2023-05-28,58,22000,2100,95,38000,92
"Bootstrap 5 Crash Course","Responsive design basics using the Bootstrap framework",2020-10-10,42,125000,3200,210,85000,56
"Earn $500/hr coding THIS secret language!","No experience required for this insane remote job",2023-12-05,15,980000,3500,15000,290000,26
"Memory Management in C","Malloc calloc free and preventing memory leaks",2021-04-03,50,31000,2800,160,52000,90
"Vue.js Composition API Tutorial","Managing state and logic in modern Vue applications",2022-07-15,32,75000,2200,135,68000,69
"Become a Hacker overnight!","The dark web secrets they are hiding from you",2021-09-09,8,1650000,4100,35000,420000,17
